class,method,descriptor,tier,orig_insn_count,recomp_insn_count,insn_diff,category,description,first_diff_idx,orig_context,recomp_context
zombie/ai/states/SwipeStatePlayer,CalcHitListWeapon,(Lzombie/characters/IsoGameCharacter;ZLzombie/network/packets/hit/AttackVars;Ljava/util/ArrayList;)V,STRUCTURAL,226,225,-1,ORIG_EXTRA_INSN,"Original has extra: if_acmpne, goto",14,   26: aload 6 |    28: invokevirtual #916 | >>>31: if_icmpge 578 |    34: aload 6 |    36: iload 7,   26: aload 6 |    28: invokevirtual #916 | >>>31: if_icmpge 575 |    34: aload 6 |    36: iload 7
zombie/ai/states/SwipeStatePlayer,CalcHitChance,(Lzombie/characters/IsoGameCharacter;Lzombie/inventory/types/HandWeapon;Lzombie/network/packets/hit/HitInfo;)I,STRUCTURAL,340,328,-12,BLOCK_REORDER,"Likely block reorder (sim=96.6%), added={}, removed={'aload': 4, 'pop': 6, 'dup': 2}",9,   13: aload_1  |    14: invokevirtual #1369 | >>>17: ifnull 304 |    20: aload_1  |    21: invokevirtual #1369,   13: aload_1  |    14: invokevirtual #1369 | >>>17: ifnull 288 |    20: aload_1  |    21: invokevirtual #1369
zombie/audio/ObjectAmbientEmitters$WaterDripLogic,startPlaying,(Lzombie/audio/BaseSoundEmitter;J)V,STRUCTURAL,50,52,2,COUNT_DIFF_+4,"Instruction count diff=+4, goto diff=+0, return diff=+0",3,   1: getfield #7 |    4: getfield #13 | >>>7: ifnull 162 |    10: aload_0  |    11: getfield #7,   1: getfield #7 |    4: getfield #13 | >>>7: ifnull 170 |    10: aload_0  |    11: getfield #7
zombie/audio/ObjectAmbientEmitters$WindowLogic,checkParameters,(Lzombie/audio/BaseSoundEmitter;J)V,STRUCTURAL,20,20,0,BRANCH_INV_RESTRUCTURED,1 inv + 2 other opcode diffs (block reorder),8,   14: aload 4 |    16: invokevirtual #30 | >>>19: ifne 30 |    22: aload 4 |    24: invokevirtual #34,   14: aload 4 |    16: invokevirtual #30 | >>>19: ifne 34 |    22: aload 4 |    24: invokevirtual #34
zombie/audio/parameters/ParameterCurrentZone,calculateCurrentValue,()F,SORTED_MULTISET,116,125,9,LARGE_STRUCTURAL_DIFF_+11,"Major structural diff=+11, similarity=72.7%",40,   78: freturn  |    79: aload_0  | >>>80: aload_0  |    81: getfield #39 |    84: getfield #42,   78: freturn  |    79: aload_0  | >>>80: getfield #39 |    83: getfield #42 |    86: astore_2 
zombie/audio/parameters/ParameterFootstepMaterial,getMaterial,()Lzombie/audio/parameters/ParameterFootstepMaterial$FootstepMaterial;,STRUCTURAL,87,85,-2,ORIG_EXTRA_2,"Original has 2 extra insns: {'aload': 1, 'astore_1': 1}",45,   87: astore_3  |    88: aload_3  | >>>89: ifnull 182 |    92: aload_3  |    93: invokevirtual #75,   87: astore_3  |    88: aload_3  | >>>89: ifnull 179 |    92: aload_3  |    93: invokevirtual #75
zombie/characters/BodyDamage/Fitness,update,()V,FUZZY_COMPUTATION,143,131,-12,LARGE_STRUCTURAL_DIFF_-8,"Major structural diff=-8, similarity=89.9%",15,   24: aload_0  |    25: getfield #46 | >>>28: if_icmpeq 317 |    31: aload_0  |    32: iload_1 ,   24: aload_0  |    25: getfield #46 | >>>28: if_icmpeq 296 |    31: aload_0  |    32: iload_1 
zombie/characters/ClothingWetness,updateWetness,(FF)V,SORTED_MULTISET,694,698,4,BLOCK_REORDER,"Likely block reorder (sim=99.1%), added={'astore': 2, 'ifnonnull': 1, 'goto': 1, 'ifge': 1, 'aconst_null': 2}, removed={'ifnull': 1, 'iflt': 1}",82,   180: getfield #19 |    183: arraylength  | >>>184: if_icmpge 832 |    187: iload 7 |    189: invokestatic #132,   180: getfield #19 |    183: arraylength  | >>>184: if_icmpge 841 |    187: iload 7 |    189: invokestatic #132
zombie/characters/ClothingWetness,increaseWetness,(F)V,SORTED_MULTISET,181,186,5,BLOCK_REORDER,"Likely block reorder (sim=95.4%), added={'goto': 2, 'astore': 2, 'aconst_null': 2, 'if_icmplt': 1, 'ifnonnull': 1, 'ifge': 1}, removed={'return': 1, 'if_icmpge': 1, 'ifnull': 1, 'iflt': 1}",3,   1: fconst_0  |    2: fcmpg  | >>>3: ifgt 7 |    6: return  |    7: aload_0 ,   1: fconst_0  |    2: fcmpg  | >>>3: ifgt 9 |    6: goto 401 |    9: aload_0 
zombie/characters/IsoGameCharacter,<init>,(Lzombie/iso/IsoCell;FFF)V,STRUCTURAL,1114,1114,0,BRANCH_INVERSION_ONLY,1 inversions: #865 ifne->ifeq,3,   1: aload_1  |    2: iconst_0  | >>>3: invokespecial #3 |    6: aload_0  |    7: iconst_0 ,   1: aload_1  |    2: iconst_0  | >>>3: invokespecial #1 |    6: aload_0  |    7: iconst_0 
zombie/characters/IsoGameCharacter,Hit,(Lzombie/inventory/types/HandWeapon;Lzombie/characters/IsoGameCharacter;FZFZ)F,STRUCTURAL,311,309,-2,RECOMP_EXTRA_2,"Recomp has 2 extra insns: {'aload_0': 4, 'getfield': 4}",9,   12: ifne 71 |    15: aload_0  | >>>16: invokevirtual #1667 |    19: ifeq 71 |    22: aload_0 ,   12: ifne 71 |    15: aload_0  | >>>16: invokevirtual #1661 |    19: ifeq 71 |    22: aload_0 
zombie/characters/IsoGameCharacter,updateUserName,()V,SORTED_MULTISET,283,284,1,RECOMP_EXTRA_INSN,Recomp has extra: istore,1,   0: aload_0  | >>>1: getfield #4890 |    4: ifnull 737 |    7: aload_0 ,   0: aload_0  | >>>1: getfield #4888 |    4: ifnull 739 |    7: aload_0 
zombie/characters/IsoGameCharacter,renderlast,()V,SORTED_MULTISET,2923,2932,9,BLOCK_REORDER,"Likely block reorder (sim=99.6%), added={'aload_0': 2, 'ldc_w': 1, 'ifnonnull': 2, 'fstore': 3, 'fload': 3, 'goto': 2}, removed={'ifnull': 2, 'dup': 3}",1,   0: aload_0  | >>>1: invokespecial #5091 |    4: getstatic #4635 |    7: getfield #4639,   0: aload_0  | >>>1: invokespecial #5089 |    4: getstatic #4633 |    7: getfield #4637
zombie/characters/IsoGameCharacter,shouldBecomeZombieAfterDeath,()Z,SORTED_MULTISET,45,39,-6,LARGE_STRUCTURAL_DIFF_-6,"Major structural diff=-6, similarity=81.6%",0,>>>0: getstatic #2387 |    3: getfield #7490 |    6: getfield #7494,>>>0: getstatic #2383 |    3: getfield #7486 |    6: getfield #7490
zombie/characters/IsoGameCharacter,startPlaybackGameVariables,()Lzombie/core/skinnedmodel/advancedanimation/AnimationVariableSource;,STRUCTURAL,66,65,-1,ORIG_EXTRA_INSN,"Original has extra: 161, goto",1,   0: aload_0  | >>>1: getfield #79 |    4: ifnull 21 |    7: getstatic #1732,   0: aload_0  | >>>1: getfield #77 |    4: ifnull 21 |    7: getstatic #1726
zombie/characters/IsoLivingCharacter,DoAttack,(F)Z,STRUCTURAL,321,321,0,BRANCH_INV_RESTRUCTURED,1 inv + 78 other opcode diffs (block reorder),7,   9: aload_0  |    10: getfield #34 | >>>13: ifnull 732 |    16: aload_0  |    17: getfield #34,   9: aload_0  |    10: getfield #34 | >>>13: ifnull 734 |    16: aload_0  |    17: getfield #34
zombie/characters/IsoPlayer,getControllerAimDir,(Lzombie/iso/Vector2;)Lzombie/iso/Vector2;,STRUCTURAL,74,72,-2,ORIG_EXTRA_INSN,"Original has extra: ifeq, invokevirtual, goto",0,>>>0: getstatic #2130 |    3: ifnull 137 |    6: aload_0 ,>>>0: getstatic #2122 |    3: ifnull 134 |    6: aload_0 
zombie/characters/IsoPlayer,calculateContext,()V,STRUCTURAL,412,412,0,ORIG_EXTRA_GOTO,Original has 1 extra goto(s),1,   0: aload_0  | >>>1: getfield #1961 |    4: fstore_1  |    5: aload_0 ,   0: aload_0  | >>>1: getfield #1955 |    4: fstore_1  |    5: aload_0 
zombie/characters/IsoPlayer,isSafeToClimbOver,(Lzombie/iso/IsoDirections;)Z,SORTED_MULTISET,91,93,2,RECOMP_EXTRA_2,"Recomp has 2 extra insns: {'aconst_null': 1, 'astore_3': 5, '44': 1, '72': 1, '100': 1, '128': 1, 'aload_3': 4}",2,   0: aconst_null  |    1: astore_2  | >>>2: getstatic #4740 |    5: aload_1  |    6: invokevirtual #4746,   0: aconst_null  |    1: astore_2  | >>>2: aconst_null  |    3: astore_3  |    4: getstatic #4732
zombie/characters/IsoPlayer,hopFence,(Lzombie/iso/IsoDirections;Z)Z,STRUCTURAL,296,294,-2,ORIG_EXTRA_2,"Original has 2 extra insns: {'aload_1': 1, 'astore_3': 1, 'fstore': 3, 'fload': 6, 'aload_3': 9, 'ifeq': 1, 'iconst_0': 1, 'ireturn': 1}",0,>>>0: aload_1  |    1: astore_3  |    2: aload_0 ,>>>0: aload_0  |    1: getfield #1955 |    4: aload_0 
zombie/characters/IsoPlayer,canClimbOverWall,(Lzombie/iso/IsoDirections;)Z,STRUCTURAL,244,244,0,BRANCH_INV_RESTRUCTURED,8 inv + 200 other opcode diffs (block reorder),7,   9: aload_0  |    10: aload_1  | >>>11: invokevirtual #4832 |    14: ifeq 24 |    17: aload_0 ,   9: aload_0  |    10: aload_1  | >>>11: invokevirtual #4824 |    14: ifeq 533 |    17: aload_0 
zombie/characters/IsoPlayer,getTimeSurvived,()Ljava/lang/String;,SORTED_MULTISET,120,118,-2,ORIG_EXTRA_2,"Original has 2 extra insns: {'iload_2': 1, 'istore_3': 2, 'istore': 2, 'iload': 5, 'iload_3': 3}",3,   2: astore_1  |    3: aload_0  | >>>4: invokevirtual #1827 |    7: d2i  |    8: istore_2 ,   2: astore_1  |    3: aload_0  | >>>4: invokevirtual #1823 |    7: d2i  |    8: istore_2 
zombie/characters/IsoPlayer,updateRemotePlayer,()Z,STRUCTURAL,755,756,1,RECOMP_EXTRA_INSN,"Recomp has extra: aload_0, aload_0, pop",1,   0: aload_0  | >>>1: getfield #2251 |    4: ifne 9 |    7: iconst_0 ,   0: aload_0  | >>>1: getfield #2243 |    4: ifne 9 |    7: iconst_0 
zombie/characters/IsoPlayer,updateFootInjuries,()V,SORTED_MULTISET,226,225,-1,ORIG_EXTRA_INSN,"Original has extra: ifle, return, return",1,   0: aload_0  | >>>1: invokevirtual #6012 |    4: ldc_w #6077 |    7: invokevirtual #6079,   0: aload_0  | >>>1: invokevirtual #6004 |    4: ldc_w #6069 |    7: invokevirtual #6071
zombie/characters/IsoZombie,addAggro,(Lzombie/iso/IsoMovingObject;F)V,SORTED_MULTISET,73,73,0,OPCODE_DIFF,954 opcode differences: #189 aload_0->dup; #191 getfield->aload_0; #192 aload_0->invokevirtual,4,   4: iconst_0  |    5: aaload  | >>>6: ifnonnull 25 |    9: aload_0  |    10: getfield #368,   4: iconst_0  |    5: aaload  | >>>6: ifnonnull 27 |    9: aload_0  |    10: getfield #368
zombie/characters/IsoZombie,lambda$registerVariableCallbacks$9,()Ljava/lang/Boolean;,STRUCTURAL,124,123,-1,ORIG_EXTRA_INSN,"Original has extra: ifnull, goto",1,   0: aload_0  | >>>1: getfield #1222 |    4: ifnonnull 12 |    7: iconst_0 ,   0: aload_0  | >>>1: getfield #1220 |    4: ifnonnull 12 |    7: iconst_0 
zombie/characters/NetworkTeleport,update,(Lzombie/characters/IsoGameCharacter;Lzombie/network/packets/PlayerPacket;)V,STRUCTURAL,84,85,1,RECOMP_EXTRA_GOTO,Recomp has 2 extra goto(s),2,   0: aload_0  |    1: invokevirtual #206 | >>>4: ifeq 154 |    7: aload_0  |    8: invokevirtual #283,   0: aload_0  |    1: invokevirtual #206 | >>>4: ifeq 158 |    7: aload_0  |    8: invokevirtual #283
zombie/characters/NetworkZombieVariables,setInt,(Lzombie/characters/IsoZombie;SI)V,STRUCTURAL,63,62,-1,ORIG_EXTRA_GOTO,Original has 1 extra goto(s),13,   41: fdiv  |    42: putfield #7 | >>>45: goto 166 |    48: aload_0  |    49: iload_2 ,   41: fdiv  |    42: putfield #7 | >>>45: goto 163 |    48: aload_0  |    49: iload_2 
zombie/characters/ZombiesZoneDefinition,init,()V,STRUCTURAL,37,38,1,BRANCH_TARGET_DIFF,2 branch targets differ: #28 goto 41 vs 113; #37 goto 41 vs 113,28,"   65: aload_2  |    66: ifnonnull 72 | >>>69: goto 41 |    72: aload_1  |    73: invokeinterface #68,  1","   65: aload_2  |    66: ifnonnull 72 | >>>69: goto 113 |    72: aload_1  |    73: invokeinterface #68,  1"
zombie/characters/ZombiesZoneDefinition,initZone,(Ljava/lang/String;Lse/krka/kahlua/j2se/KahluaTableImpl;)Lzombie/characters/ZombiesZoneDefinition$ZZDZone;,STRUCTURAL,52,53,1,BRANCH_TARGET_DIFF,2 branch targets differ: #41 goto 58 vs 135; #47 goto 58 vs 135,41,   83: aload 4 |    85: ifnonnull 91 | >>>88: goto 58 |    91: aload 4 |    93: invokestatic #115,   83: aload 4 |    85: ifnonnull 91 | >>>88: goto 135 |    91: aload 4 |    93: invokestatic #115
zombie/characters/action/ActionContext,getNextState,()Lzombie/characters/action/ActionState;,STRUCTURAL,128,127,-1,ORIG_EXTRA_INSN,"Original has extra: ifeq, goto, aload",9,   9: getfield #72 |    12: invokevirtual #77 | >>>15: if_icmpge 129 |    18: aload_0  |    19: getfield #54,   9: getfield #72 |    12: invokevirtual #77 | >>>15: if_icmpge 126 |    18: aload_0  |    19: getfield #54
zombie/characters/action/ActionContext,setPlaybackStateSnapshot,(Lzombie/characters/action/ActionStateSnapshot;)V,SORTED_MULTISET,84,83,-1,ORIG_EXTRA_RETURN,Original has extra return,2,   0: aload_0  |    1: getfield #100 | >>>4: ifnonnull 8 |    7: return  |    8: aload_1 ,   0: aload_0  |    1: getfield #100 | >>>4: ifnonnull 10 |    7: goto 169 |    10: aload_1 
zombie/characters/action/ActionGroup,loadGroupData,(Ljava/io/File;)V,STRUCTURAL,100,99,-1,BRANCH_INV_RESTRUCTURED,1 inv + 58 other opcode diffs (block reorder),30,   68: ldc #195 |    70: invokevirtual #197 | >>>73: ifne 98 |    76: getstatic #47 |    79: aload_1 ,   68: ldc #195 |    70: invokevirtual #197 | >>>73: ifne 100 |    76: getstatic #47 |    79: aload_1 
